dim_red,kernal,num_iter,cs,gammas,degs,scores,pipes,times
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",30.72503900527954
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",18.878331899642944
LinearDiscriminantAnalysis(),linear,2000,0.01,0.001,9,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",21.599943161010742
LinearDiscriminantAnalysis(),linear,2000,0.01,0.0001,6,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.79315686225891
LinearDiscriminantAnalysis(),linear,2000,0.01,auto,1,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.41547203063965
LinearDiscriminantAnalysis(),linear,2000,1.0,scale,2,0.7556,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(kernel='linear', max_iter=2000))],
         verbose=True)",20.095881938934326
LinearDiscriminantAnalysis(),linear,2000,0.001,0.1,10,0.741,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.001, kernel='linear', max_iter=2000))],
         verbose=True)",20.375607013702393
LinearDiscriminantAnalysis(),linear,2000,0.1,10.0,4,0.799,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=2000))],
         verbose=True)",18.908371210098267
LinearDiscriminantAnalysis(),linear,2000,0.01,1.0,5,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.55691885948181
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",30.72503900527954
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",18.878331899642944
LinearDiscriminantAnalysis(),linear,2000,0.01,0.001,9,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",21.599943161010742
LinearDiscriminantAnalysis(),linear,2000,0.01,0.0001,6,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.79315686225891
LinearDiscriminantAnalysis(),linear,2000,0.01,auto,1,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.41547203063965
LinearDiscriminantAnalysis(),linear,2000,1.0,scale,2,0.7556,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(kernel='linear', max_iter=2000))],
         verbose=True)",20.095881938934326
LinearDiscriminantAnalysis(),linear,2000,0.001,0.1,10,0.741,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.001, kernel='linear', max_iter=2000))],
         verbose=True)",20.375607013702393
LinearDiscriminantAnalysis(),linear,2000,0.1,10.0,4,0.799,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=2000))],
         verbose=True)",18.908371210098267
LinearDiscriminantAnalysis(),linear,2000,0.01,1.0,5,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.55691885948181
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",28.82819104194641
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",30.72503900527954
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",18.878331899642944
LinearDiscriminantAnalysis(),linear,2000,0.01,0.001,9,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",21.599943161010742
LinearDiscriminantAnalysis(),linear,2000,0.01,0.0001,6,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.79315686225891
LinearDiscriminantAnalysis(),linear,2000,0.01,auto,1,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.41547203063965
LinearDiscriminantAnalysis(),linear,2000,1.0,scale,2,0.7556,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(kernel='linear', max_iter=2000))],
         verbose=True)",20.095881938934326
LinearDiscriminantAnalysis(),linear,2000,0.001,0.1,10,0.741,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.001, kernel='linear', max_iter=2000))],
         verbose=True)",20.375607013702393
LinearDiscriminantAnalysis(),linear,2000,0.1,10.0,4,0.799,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=2000))],
         verbose=True)",18.908371210098267
LinearDiscriminantAnalysis(),linear,2000,0.01,1.0,5,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.55691885948181
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",28.82819104194641
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",17.64136290550232
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",30.72503900527954
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",18.878331899642944
LinearDiscriminantAnalysis(),linear,2000,0.01,0.001,9,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",21.599943161010742
LinearDiscriminantAnalysis(),linear,2000,0.01,0.0001,6,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.79315686225891
LinearDiscriminantAnalysis(),linear,2000,0.01,auto,1,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.41547203063965
LinearDiscriminantAnalysis(),linear,2000,1.0,scale,2,0.7556,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(kernel='linear', max_iter=2000))],
         verbose=True)",20.095881938934326
LinearDiscriminantAnalysis(),linear,2000,0.001,0.1,10,0.741,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.001, kernel='linear', max_iter=2000))],
         verbose=True)",20.375607013702393
LinearDiscriminantAnalysis(),linear,2000,0.1,10.0,4,0.799,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=2000))],
         verbose=True)",18.908371210098267
LinearDiscriminantAnalysis(),linear,2000,0.01,1.0,5,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.55691885948181
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",28.82819104194641
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",17.64136290550232
LinearDiscriminantAnalysis(),linear,2000,0.01,0.001,9,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.422834873199463
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",30.72503900527954
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",18.878331899642944
LinearDiscriminantAnalysis(),linear,2000,0.01,0.001,9,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",21.599943161010742
LinearDiscriminantAnalysis(),linear,2000,0.01,0.0001,6,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.79315686225891
LinearDiscriminantAnalysis(),linear,2000,0.01,auto,1,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.41547203063965
LinearDiscriminantAnalysis(),linear,2000,1.0,scale,2,0.7556,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(kernel='linear', max_iter=2000))],
         verbose=True)",20.095881938934326
LinearDiscriminantAnalysis(),linear,2000,0.001,0.1,10,0.741,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.001, kernel='linear', max_iter=2000))],
         verbose=True)",20.375607013702393
LinearDiscriminantAnalysis(),linear,2000,0.1,10.0,4,0.799,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=2000))],
         verbose=True)",18.908371210098267
LinearDiscriminantAnalysis(),linear,2000,0.01,1.0,5,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.55691885948181
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",28.82819104194641
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",17.64136290550232
LinearDiscriminantAnalysis(),linear,2000,0.01,0.001,9,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.422834873199463
LinearDiscriminantAnalysis(),linear,2000,0.01,0.0001,6,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.976547956466675
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",30.72503900527954
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",18.878331899642944
LinearDiscriminantAnalysis(),linear,2000,0.01,0.001,9,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",21.599943161010742
LinearDiscriminantAnalysis(),linear,2000,0.01,0.0001,6,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.79315686225891
LinearDiscriminantAnalysis(),linear,2000,0.01,auto,1,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",22.41547203063965
LinearDiscriminantAnalysis(),linear,2000,1.0,scale,2,0.7556,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(kernel='linear', max_iter=2000))],
         verbose=True)",20.095881938934326
LinearDiscriminantAnalysis(),linear,2000,0.001,0.1,10,0.741,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.001, kernel='linear', max_iter=2000))],
         verbose=True)",20.375607013702393
LinearDiscriminantAnalysis(),linear,2000,0.1,10.0,4,0.799,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=2000))],
         verbose=True)",18.908371210098267
LinearDiscriminantAnalysis(),linear,2000,0.01,1.0,5,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.55691885948181
LinearDiscriminantAnalysis(),linear,2000,0.0001,0.001,3,0.6905,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",28.82819104194641
LinearDiscriminantAnalysis(),linear,2000,10.0,0.01,8,0.4753,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",17.64136290550232
LinearDiscriminantAnalysis(),linear,2000,0.01,0.001,9,0.7891,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",18.422834873199463
